start,end,distance,difficulty,danger
Longtable,Grassy Vale,105,1,1
Longtable,Bitterbridge,60,1,1
Longtable,Cider Hall,65,1,1
Longtable,Ashford,65,3,1
Grassy Vale,Tumbleton,80,3,1
Grassy Vale,Summerhall,115,3,1
Bitterbridge,Tumbleton,100,1,1
Tumbleton,King's Landing,110,3,1
King's Landing,Crosby,40,3,1
King's Landing,Stonedance,205,4,4
King's Landing,Bronzegate,160,2,1
Sharp Point,Stonedance,30,3,2
Stonedance,Haystack Hall,150,3,1
Haystack Hall,Bronzegate,20,3,1
Haystack Hall,Evenfall Hall,120,4,4
Bronzegate,Felwood,55,3,1
Bronzegate,Storm's End,65,2,1
Felwood,Griffin's Roost,85,4,1
Felwood,Summerhall,110,3,1
Evenfall Hall,Storm's End,80,4,5
Evenfall Hall,Rain House,75,4,5
Storm's End,Griffin's Roost,50,3,5
Griffin's Roost,Crow's Nest,50,3,4
Griffin's Roost,Rain House,130,4,5
Crow's Nest,Stonehelm,50,4,4
Crow's Nest,Mistwood,90,4,5
Stonehelm,Weeping Tower,125,3,4
Stonehelm,Ghaston Grey,115,4,4
Stonehelm,Wyl,105,3,3
Stonehelm,Summerhall,90,5,5
Rain House,Mistwood,85,4,5
Rain House,Greenstone,70,4,4
Mistwood,Weeping Tower,40,3,3
Mistwood,Greenstone,65,3,4
Weeping Tower,Greenstone,60,3,4
Weeping Tower,Ghost Hill,115,4,4
Weeping Tower,The Tor,150,4,4
Ghost Hill,Planky Town,60,3,2
Ghost Hill,The Tor,140,3,3
Sunspear,Planky Town,20,3,2
Planky Town,Lemonwood,50,3,2
Lemonwood,Salt Shore,115,3,2
Lemonwood,Godsgrace,120,1,2
Salt Shore,Godsgrace,55,3,2
Salt Shore,Vaith,90,3,2
Godsgrace,The Tor,55,3,2
Godsgrace,Vaith,85,1,2
The Tor,Yronwood,140,3,2
Vaith,Hellholt,130,3,2
Ghaston Grey,Wyl,70,4,3
Ghaston Grey,Yronwood,70,4,3
Wyl,Blackhaven,70,4,3
Wyl,Yronwood,90,2,2
Wyl,Summerhall,110,2,2
Blackhaven,Vulture's Roost,50,3,1
Blackhaven,Ashford,105,3,1
Vulture's Roost,Tower of Joy,50,5,3
Vulture's Roost,Yronwood,95,3,3
Nightsong,Tower of Joy,40,3,1
Nightsong,Blackmont,105,5,5
Nightsong,Highgarden,130,3,1
Nightsong,Cider Hall,100,3,1
Nightsong,Ashford,85,3,1
Tower of Joy,Kingsgrave,25,3,2
Kingsgrave,Skyreach,40,3,2
Skyreach,Yronwood,110,1,2
Skyreach,Hellholt,110,3,2
Skyreach,Sandstone,120,3,2
Skyreach,Blackmont,100,3,2
Yronwood,Hellholt,120,3,2
Hellholt,Sandstone,90,3,2
Starfall,High Hermitage,45,1,1
Starfall,Uplands,100,5,4
Starfall,Sunflower Hall,100,3,1
High Hermitage,Blackmont,40,1,1
Highgarden,Cider Hall,90,1,1
Highgarden,Goldengrove,140,1,1
Highgarden,Old Oak,160,2,1
Highgarden,Oldtown,180,2,1
Cider Hall,Ashford,70,1,1
Cider Hall,Goldengrove,120,3,1
Goldengrove,Red Lake,80,3,1
Goldengrove,Silverhill,130,1,1
Goldengrove,Old Oak,145,3,1
Red Lake,Cornfield,50,3,1
Red Lake,Crakehall,100,3,1
Red Lake,Old Oak,90,3,1
Cornfield,Crakehall,90,3,1
Cornfield,Lannisport,90,3,1
Crakehall,Lannisport,110,2,1
Crakehall,Old Oak,100,2,1
Bandallon,Brightwater Keep,65,3,1
Bandallon,Blackcrown,105,3,1
Brightwater Keep,Honeyholt,40,1,1
Honeyholt,Oldtown,40,1,1
Uplands,Oldtown,60,1,1
Oldtown,Three Towers,65,3,1
Oldtown,Blackcrown,65,3,1
Three Towers,Blackcrown,40,3,2
Three Towers,Sunflower Hall,105,3,1
Three Towers,Ryamsport,100,4,3
Starfish Harbour,Ryamsport,25,3,1
Ryamsport,Vinetown,30,3,1
